hash_algorithm,key_size,message_size,sign_delay_ms,sign_std,verify_delay_ms,verify_std,transmission_delay_ms,transmission_std,sign_ci95,verify_ci95,transmission_ci95
SHA384,512,100,1.0595579934306443,0.4028726135810415,2.6967819943092763,1.0029862834451604,2.8724619862623513,1.0545166551614378,0.07896303226188413,0.19658531155525144,0.20668526441164178
SHA384,512,150,1.0547829931601882,0.39966672463053005,2.7384649985469878,1.0448920063854106,2.9192719981074333,1.0996621527156212,0.0783346780275839,0.20479883325154047,0.21553378193226175
SHA384,512,200,1.1068509868346155,0.4040064657071304,2.830346014816314,1.055986787650655,3.0121329915709794,1.107913888717723,0.07918526727859757,0.20697341037952838,0.21715112218867366
SHA384,512,250,1.1770949815399945,0.42398162739005574,2.9575459845364094,1.0648604037408027,3.146651010029018,1.1164615617942133,0.08310039896845092,0.20871263913319732,0.2188264661116658
SHA384,1024,50,5.434432998299599,1.920305019395124,12.500714007765055,4.560175890118924,12.680041987914592,4.6054022538630095,0.3763797838014443,0.8937944744633091,0.9026588417571497
SHA384,1024,100,5.7518749963492155,2.058808936933225,12.991973005700856,4.662320088688721,13.187451006378978,4.717555882507996,0.40352655163891216,0.9138147373829891,0.9246409529715672
SHA384,1024,150,6.023579004686326,2.170454339822552,13.326942988205701,4.642180673569706,13.522716998122633,4.700720076025848,0.4254090506052203,0.9098674120196625,0.9213411349010663
SHA384,1024,200,5.113667007535696,1.8100639126776048,12.314003990031779,4.502454435697369,12.49668400734663,4.5532212159596,0.35477252688481054,0.8824810693966842,0.8924313583280815
SHA384,1024,250,4.642974003218114,1.9809786139666206,10.572644993662834,4.480385172585646,10.804070013109595,4.486828221491935,0.3882718083374576,0.8781554938267867,0.8794183314124192
SHA384,2048,50,24.83037499943748,9.62786182357502,53.08087098877877,17.697566082198403,53.360466009471565,17.67096641565399,1.887060917420704,3.4687229521108867,3.463509417468182
SHA384,2048,100,22.637373991310596,7.197592991242515,47.960961007047445,11.423552957914191,48.259058005642146,11.406866111154567,1.4107282262835328,2.2390163797511815,2.235745757786295
SHA384,2048,150,19.870871992316097,0.6496228608334313,43.47315298393369,1.2649518524187433,43.786068002227694,1.2664972680065771,0.12732608072335255,0.24793056307407366,0.2482334645292891
SHA384,2048,200,35.68265701178461,10.624636686229845,76.36273900046945,19.94779320449919,76.6057090042159,19.97185141590499,2.0824287905010497,3.9097674680818413,3.914482877517378
SHA384,2048,250,35.378142008557916,9.695796500539874,75.04302800865844,18.19592807518607,75.26929900282994,18.2196103674052,1.9003761141058153,3.5664019027364695,3.571043632011419
